campaign_id,landing_page_slug,url,template_id,template_name,slide_count,duration_seconds,primary_cta,secondary_cta,ai_persona,ai_tone,ai_goal,data_capture_fields,audio_base_url,crm_tracking,conversion_goal,utm_source,utm_medium,utm_campaign,utm_content
HOOK-001,claim-your-listing,/learn/claim-your-listing,claim-listing,Claim Your Listing,6,45,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/claim-your-listing/audio/,True,signup,email,outbound,90day-week1-hook,HOOK-001
EDU-001,seo-reality-check,/learn/seo-reality-check,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/seo-reality-check/audio/,True,education,email,outbound,90day-week1-educational,EDU-001
HOOK-002,post-your-event,/learn/post-your-event,event-posting,Event Posting Guide,5,40,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/post-your-event/audio/,True,signup,email,outbound,90day-week1-hook,HOOK-002
HOWTO-001,command-center-basics,/learn/command-center-basics,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/command-center-basics/audio/,True,engagement,email,outbound,90day-week1-how-to,HOWTO-001
EDU-002,ai-marketing-101,/learn/ai-marketing-101,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-marketing-101/audio/,True,education,email,outbound,90day-week1-educational,EDU-002
HOOK-003,create-coupon,/learn/create-coupon,coupon-creator,Coupon Creator,5,35,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/create-coupon/audio/,True,signup,email,outbound,90day-week2-hook,HOOK-003
EDU-003,ai-marketing-assistant,/learn/ai-marketing-assistant,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-marketing-assistant/audio/,True,education,email,outbound,90day-week2-educational,EDU-003
HOWTO-002,create-article,/learn/create-article,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/create-article/audio/,True,engagement,email,outbound,90day-week2-how-to,HOWTO-002
HOWTO-003,event-creation-guide,/learn/event-creation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/event-creation-guide/audio/,True,engagement,email,outbound,90day-week2-how-to,HOWTO-003
EDU-004,ai-operations-guide,/learn/ai-operations-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-operations-guide/audio/,True,education,email,outbound,90day-week2-educational,EDU-004
HOOK-004,get-featured,/learn/get-featured,feature-application,Feature Application,6,50,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/get-featured/audio/,True,signup,email,outbound,90day-week3-hook,HOOK-004
HOWTO-004,premium-venue-setup,/learn/premium-venue-setup,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/premium-venue-setup/audio/,True,engagement,email,outbound,90day-week3-how-to,HOWTO-004
EDU-005,ai-search-visibility,/learn/ai-search-visibility,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-search-visibility/audio/,True,education,email,outbound,90day-week3-educational,EDU-005
HOWTO-005,performer-registration,/learn/performer-registration,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/performer-registration/audio/,True,engagement,email,outbound,90day-week3-how-to,HOWTO-005
HOWTO-006,post-announcement,/learn/post-announcement,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/post-announcement/audio/,True,engagement,email,outbound,90day-week3-how-to,HOWTO-006
HOOK-005,post-classified,/learn/post-classified,classified-posting,Classified Ad Posting,5,35,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/post-classified/audio/,True,signup,email,outbound,90day-week4-hook,HOOK-005
EDU-006,community-marketing,/learn/community-marketing,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/community-marketing/audio/,True,education,email,outbound,90day-week4-educational,EDU-006
HOWTO-007,multi-community-guide,/learn/multi-community-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/multi-community-guide/audio/,True,engagement,email,outbound,90day-week4-how-to,HOWTO-007
HOWTO-008,ai-sales-setup,/learn/ai-sales-setup,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/ai-sales-setup/audio/,True,engagement,email,outbound,90day-week4-how-to,HOWTO-008
EDU-007,reputation-ai-age,/learn/reputation-ai-age,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/reputation-ai-age/audio/,True,education,email,outbound,90day-week4-educational,EDU-007
HOOK-006,crm-integration,/learn/crm-integration,integration,Integration Setup,6,45,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/crm-integration/audio/,True,signup,email,outbound,90day-week5-hook,HOOK-006
HOWTO-009,dashboard-tour,/learn/dashboard-tour,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/dashboard-tour/audio/,True,engagement,email,outbound,90day-week5-how-to,HOWTO-009
EDU-008,ai-customer-service,/learn/ai-customer-service,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-customer-service/audio/,True,education,email,outbound,90day-week5-educational,EDU-008
HOWTO-010,social-connection-guide,/learn/social-connection-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/social-connection-guide/audio/,True,engagement,email,outbound,90day-week5-how-to,HOWTO-010
HOWTO-011,email-marketing-setup,/learn/email-marketing-setup,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/email-marketing-setup/audio/,True,engagement,email,outbound,90day-week5-how-to,HOWTO-011
HOOK-007,featured-listing,/learn/featured-listing,upgrade-offer,Upgrade Offer,7,55,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/featured-listing/audio/,True,signup,email,outbound,90day-week6-hook,HOOK-007
EDU-009,voice-ai-guide,/learn/voice-ai-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/voice-ai-guide/audio/,True,education,email,outbound,90day-week6-educational,EDU-009
HOWTO-012,review-response-guide,/learn/review-response-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/review-response-guide/audio/,True,engagement,email,outbound,90day-week6-how-to,HOWTO-012
HOWTO-013,automated-posting-guide,/learn/automated-posting-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/automated-posting-guide/audio/,True,engagement,email,outbound,90day-week6-how-to,HOWTO-013
EDU-010,local-seo-guide,/learn/local-seo-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/local-seo-guide/audio/,True,education,email,outbound,90day-week6-educational,EDU-010
HOOK-008,newsletter-advertising,/learn/newsletter-advertising,advertising-offer,Advertising Offer,6,50,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/newsletter-advertising/audio/,True,signup,email,outbound,90day-week7-hook,HOOK-008
HOWTO-014,customer-survey-setup,/learn/customer-survey-setup,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/customer-survey-setup/audio/,True,engagement,email,outbound,90day-week7-how-to,HOWTO-014
HOOK-009,become-sponsor,/learn/become-sponsor,sponsor-application,Sponsor Application,7,60,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/become-sponsor/audio/,True,signup,email,outbound,90day-week7-hook,HOOK-009
HOWTO-015,analytics-guide,/learn/analytics-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/analytics-guide/audio/,True,engagement,email,outbound,90day-week7-how-to,HOWTO-015
EDU-011,ai-content-guide,/learn/ai-content-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-content-guide/audio/,True,education,email,outbound,90day-week7-educational,EDU-011
HOOK-010,article-advertising,/learn/article-advertising,advertising-offer,Advertising Offer,6,50,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/article-advertising/audio/,True,signup,email,outbound,90day-week8-hook,HOOK-010
HOOK-011,expert-registration,/learn/expert-registration,expert-application,Expert Application,6,50,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/expert-registration/audio/,True,signup,email,outbound,90day-week8-hook,HOOK-011
HOWTO-016,lead-capture-guide,/learn/lead-capture-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/lead-capture-guide/audio/,True,engagement,email,outbound,90day-week8-how-to,HOWTO-016
EDU-012,future-proof-guide,/learn/future-proof-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/future-proof-guide/audio/,True,education,email,outbound,90day-week8-educational,EDU-012
HOWTO-017,appointment-booking-setup,/learn/appointment-booking-setup,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/appointment-booking-setup/audio/,True,engagement,email,outbound,90day-week8-how-to,HOWTO-017
HOOK-012,influencer-program,/learn/influencer-program,influencer-application,Influencer Application,6,50,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/influencer-program/audio/,True,signup,email,outbound,90day-week9-hook,HOOK-012
HOWTO-018,invoice-automation-guide,/learn/invoice-automation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/invoice-automation-guide/audio/,True,engagement,email,outbound,90day-week9-how-to,HOWTO-018
EDU-013,data-privacy-guide,/learn/data-privacy-guide,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/data-privacy-guide/audio/,True,education,email,outbound,90day-week9-educational,EDU-013
HOWTO-019,sms-marketing-guide,/learn/sms-marketing-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/sms-marketing-guide/audio/,True,engagement,email,outbound,90day-week9-how-to,HOWTO-019
HOWTO-020,faq-builder-guide,/learn/faq-builder-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/faq-builder-guide/audio/,True,engagement,email,outbound,90day-week9-how-to,HOWTO-020
HOOK-013,social-posting-trial,/learn/social-posting-trial,trial-offer,Free Trial Offer,5,40,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/social-posting-trial/audio/,True,signup,email,outbound,90day-week10-hook,HOOK-013
EDU-014,competitive-intelligence,/learn/competitive-intelligence,educational,Educational Content,7,75,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/competitive-intelligence/audio/,True,education,email,outbound,90day-week10-educational,EDU-014
HOWTO-021,google-integration-guide,/learn/google-integration-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/google-integration-guide/audio/,True,engagement,email,outbound,90day-week10-how-to,HOWTO-021
HOOK-014,holiday-events,/learn/holiday-events,seasonal-promotion,Seasonal Promotion,5,40,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/holiday-events/audio/,True,signup,email,outbound,90day-week10-hook,HOOK-014
HOWTO-022,workflow-automation-guide,/learn/workflow-automation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/workflow-automation-guide/audio/,True,engagement,email,outbound,90day-week10-how-to,HOWTO-022
EDU-015,ai-employees-explained,/learn/ai-employees-explained,ai-intro,AI Employee Introduction,9,90,download_guide,start_trial,Sarah,"Knowledgeable, patient",Build trust through education,"name, email, business_name, industry, current_challenges",https://cdn.fibonacco.com/presentations/ai-employees-explained/audio/,True,education,email,outbound,90day-week11-educational,EDU-015
HOOK-015,business-nomination,/learn/business-nomination,nomination,Business Nomination,5,35,signup_free,schedule_demo,Sarah,"Excited, helpful",Get user to take immediate action,"name, email, business_name, industry",https://cdn.fibonacco.com/presentations/business-nomination/audio/,True,signup,email,outbound,90day-week11-hook,HOOK-015
HOWTO-023,report-generation-guide,/learn/report-generation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/report-generation-guide/audio/,True,engagement,email,outbound,90day-week11-how-to,HOWTO-023
HOWTO-024,customer-segmentation-guide,/learn/customer-segmentation-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/customer-segmentation-guide/audio/,True,engagement,email,outbound,90day-week11-how-to,HOWTO-024
HOWTO-025,ai-training-guide,/learn/ai-training-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/ai-training-guide/audio/,True,engagement,email,outbound,90day-week11-how-to,HOWTO-025
HOWTO-026,integration-marketplace,/learn/integration-marketplace,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/integration-marketplace/audio/,True,engagement,email,outbound,90day-week12-how-to,HOWTO-026
HOWTO-027,team-collaboration-guide,/learn/team-collaboration-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/team-collaboration-guide/audio/,True,engagement,email,outbound,90day-week12-how-to,HOWTO-027
HOWTO-028,content-calendar-guide,/learn/content-calendar-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/content-calendar-guide/audio/,True,engagement,email,outbound,90day-week12-how-to,HOWTO-028
HOWTO-029,roi-tracking-guide,/learn/roi-tracking-guide,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/roi-tracking-guide/audio/,True,engagement,email,outbound,90day-week12-how-to,HOWTO-029
HOWTO-030,success-playbook,/learn/success-playbook,tutorial,How-To Tutorial,8,60,start_trial,contact_sales,Emma,"Helpful, step-by-step",Guide user through process,"name, email, business_name, setup_preferences",https://cdn.fibonacco.com/presentations/success-playbook/audio/,True,engagement,email,outbound,90day-week12-how-to,HOWTO-030
