Campaign ID,Type,Campaign Name,URL
HOOK-001,Hook,Claim Your Listing,https://commandcenter.day.news/learn/claim-your-listing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-001&community=clearwater-fl
HOOK-002,Hook,Post Your Event,https://commandcenter.day.news/learn/post-your-event?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-002&community=clearwater-fl
HOOK-003,Hook,Create a Coupon,https://commandcenter.day.news/learn/create-coupon?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-003&community=clearwater-fl
HOOK-004,Hook,Get Featured,https://commandcenter.day.news/learn/get-featured?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-004&community=clearwater-fl
HOOK-005,Hook,Post a Classified,https://commandcenter.day.news/learn/post-classified?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-005&community=clearwater-fl
HOOK-006,Hook,CRM Integration,https://commandcenter.day.news/learn/crm-integration?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-006&community=clearwater-fl
HOOK-007,Hook,Featured Listing Upgrade,https://commandcenter.day.news/learn/featured-listing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-007&community=clearwater-fl
HOOK-008,Hook,Newsletter Advertising,https://commandcenter.day.news/learn/newsletter-advertising?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-008&community=clearwater-fl
HOOK-009,Hook,Become a Sponsor,https://commandcenter.day.news/learn/become-sponsor?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-009&community=clearwater-fl
HOOK-010,Hook,Article Advertising,https://commandcenter.day.news/learn/article-advertising?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-010&community=clearwater-fl
HOOK-011,Hook,Expert Registration,https://commandcenter.day.news/learn/expert-registration?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-011&community=clearwater-fl
HOOK-012,Hook,Influencer Program,https://commandcenter.day.news/learn/influencer-program?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-012&community=clearwater-fl
HOOK-013,Hook,Social Posting Trial,https://commandcenter.day.news/learn/social-posting-trial?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-013&community=clearwater-fl
HOOK-014,Hook,Holiday Events,https://commandcenter.day.news/learn/holiday-events?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-014&community=clearwater-fl
HOOK-015,Hook,Business Nomination,https://commandcenter.day.news/learn/business-nomination?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-hook&utm_content=HOOK-015&community=clearwater-fl
EDU-001,Education,SEO Reality Check,https://commandcenter.day.news/learn/seo-reality-check?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-001&community=clearwater-fl
EDU-002,Education,AI Marketing 101,https://commandcenter.day.news/learn/ai-marketing-101?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-002&community=clearwater-fl
EDU-003,Education,AI Marketing Assistant,https://commandcenter.day.news/learn/ai-marketing-assistant?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-003&community=clearwater-fl
EDU-004,Education,AI Operations Guide,https://commandcenter.day.news/learn/ai-operations-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-004&community=clearwater-fl
EDU-005,Education,AI Search Visibility,https://commandcenter.day.news/learn/ai-search-visibility?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-005&community=clearwater-fl
EDU-006,Education,Community Marketing,https://commandcenter.day.news/learn/community-marketing?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-006&community=clearwater-fl
EDU-007,Education,Reputation in AI Age,https://commandcenter.day.news/learn/reputation-ai-age?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-007&community=clearwater-fl
EDU-008,Education,AI Customer Service,https://commandcenter.day.news/learn/ai-customer-service?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-008&community=clearwater-fl
EDU-009,Education,Voice AI Guide,https://commandcenter.day.news/learn/voice-ai-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-009&community=clearwater-fl
EDU-010,Education,Local SEO Guide,https://commandcenter.day.news/learn/local-seo-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-010&community=clearwater-fl
EDU-011,Education,AI Content Guide,https://commandcenter.day.news/learn/ai-content-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-011&community=clearwater-fl
EDU-012,Education,Future-Proof Guide,https://commandcenter.day.news/learn/future-proof-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-012&community=clearwater-fl
EDU-013,Education,Data Privacy Guide,https://commandcenter.day.news/learn/data-privacy-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-013&community=clearwater-fl
EDU-014,Education,Competitive Intelligence,https://commandcenter.day.news/learn/competitive-intelligence?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-014&community=clearwater-fl
EDU-015,Education,AI Employees Explained,https://commandcenter.day.news/learn/ai-employees-explained?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-educational&utm_content=EDU-015&community=clearwater-fl
HOWTO-001,How-To,Command Center Basics,https://commandcenter.day.news/learn/command-center-basics?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-001&community=clearwater-fl
HOWTO-002,How-To,Create an Article,https://commandcenter.day.news/learn/create-article?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-002&community=clearwater-fl
HOWTO-003,How-To,Event Creation Guide,https://commandcenter.day.news/learn/event-creation-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-003&community=clearwater-fl
HOWTO-004,How-To,Premium Venue Setup,https://commandcenter.day.news/learn/premium-venue-setup?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-004&community=clearwater-fl
HOWTO-005,How-To,Performer Registration,https://commandcenter.day.news/learn/performer-registration?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-005&community=clearwater-fl
HOWTO-006,How-To,Post Announcement,https://commandcenter.day.news/learn/post-announcement?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-006&community=clearwater-fl
HOWTO-007,How-To,Multi-Community Guide,https://commandcenter.day.news/learn/multi-community-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-007&community=clearwater-fl
HOWTO-008,How-To,AI Sales Setup,https://commandcenter.day.news/learn/ai-sales-setup?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-008&community=clearwater-fl
HOWTO-009,How-To,Dashboard Tour,https://commandcenter.day.news/learn/dashboard-tour?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-009&community=clearwater-fl
HOWTO-010,How-To,Social Connection Guide,https://commandcenter.day.news/learn/social-connection-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-010&community=clearwater-fl
HOWTO-011,How-To,Email Marketing Setup,https://commandcenter.day.news/learn/email-marketing-setup?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-011&community=clearwater-fl
HOWTO-012,How-To,Review Response Guide,https://commandcenter.day.news/learn/review-response-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-012&community=clearwater-fl
HOWTO-013,How-To,Automated Posting Guide,https://commandcenter.day.news/learn/automated-posting-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-013&community=clearwater-fl
HOWTO-014,How-To,Customer Survey Setup,https://commandcenter.day.news/learn/customer-survey-setup?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-014&community=clearwater-fl
HOWTO-015,How-To,Analytics Guide,https://commandcenter.day.news/learn/analytics-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-015&community=clearwater-fl
HOWTO-016,How-To,Lead Capture Guide,https://commandcenter.day.news/learn/lead-capture-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-016&community=clearwater-fl
HOWTO-017,How-To,Appointment Booking Setup,https://commandcenter.day.news/learn/appointment-booking-setup?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-017&community=clearwater-fl
HOWTO-018,How-To,Invoice Automation Guide,https://commandcenter.day.news/learn/invoice-automation-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-018&community=clearwater-fl
HOWTO-019,How-To,SMS Marketing Guide,https://commandcenter.day.news/learn/sms-marketing-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-019&community=clearwater-fl
HOWTO-020,How-To,FAQ Builder Guide,https://commandcenter.day.news/learn/faq-builder-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-020&community=clearwater-fl
HOWTO-021,How-To,Google Integration Guide,https://commandcenter.day.news/learn/google-integration-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-021&community=clearwater-fl
HOWTO-022,How-To,Workflow Automation Guide,https://commandcenter.day.news/learn/workflow-automation-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-022&community=clearwater-fl
HOWTO-023,How-To,Report Generation Guide,https://commandcenter.day.news/learn/report-generation-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-023&community=clearwater-fl
HOWTO-024,How-To,Customer Segmentation,https://commandcenter.day.news/learn/customer-segmentation-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-024&community=clearwater-fl
HOWTO-025,How-To,AI Training Guide,https://commandcenter.day.news/learn/ai-training-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-025&community=clearwater-fl
HOWTO-026,How-To,Integration Marketplace,https://commandcenter.day.news/learn/integration-marketplace?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-026&community=clearwater-fl
HOWTO-027,How-To,Team Collaboration Guide,https://commandcenter.day.news/learn/team-collaboration-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-027&community=clearwater-fl
HOWTO-028,How-To,Content Calendar Guide,https://commandcenter.day.news/learn/content-calendar-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-028&community=clearwater-fl
HOWTO-029,How-To,ROI Tracking Guide,https://commandcenter.day.news/learn/roi-tracking-guide?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-029&community=clearwater-fl
HOWTO-030,How-To,Success Playbook,https://commandcenter.day.news/learn/success-playbook?utm_source=email&utm_medium=outbound&utm_campaign=90day-week1-how-to&utm_content=HOWTO-030&community=clearwater-fl
